bioKey,target,note
maren_dwyn_9F9,Project AHO.esm,gameplugin commit c5822a2e 'Add character bios for Project AHO NPCs'; plugin filename UNVERIFIED - confirm against the mod
marisa_verendas_9DA,Project AHO.esm,gameplugin commit c5822a2e 'Add character bios for Project AHO NPCs'; plugin filename UNVERIFIED - confirm against the mod
mela_tilvur_8E3,Project AHO.esm,gameplugin commit c5822a2e 'Add character bios for Project AHO NPCs'; plugin filename UNVERIFIED - confirm against the mod
merano_rendo_9F1,Project AHO.esm,gameplugin commit c5822a2e 'Add character bios for Project AHO NPCs'; plugin filename UNVERIFIED - confirm against the mod
midnabi_9E8,Project AHO.esm,gameplugin commit c5822a2e 'Add character bios for Project AHO NPCs'; plugin filename UNVERIFIED - confirm against the mod
nysath_folvyn_535,Project AHO.esm,gameplugin commit c5822a2e 'Add character bios for Project AHO NPCs'; plugin filename UNVERIFIED - confirm against the mod
ra_zhirra_725,Project AHO.esm,gameplugin commit c5822a2e 'Add character bios for Project AHO NPCs'; plugin filename UNVERIFIED - confirm against the mod
remesa_nalyn_309,Project AHO.esm,gameplugin commit c5822a2e 'Add character bios for Project AHO NPCs'; plugin filename UNVERIFIED - confirm against the mod
sadella_rallenar_525,Project AHO.esm,gameplugin commit c5822a2e 'Add character bios for Project AHO NPCs'; plugin filename UNVERIFIED - confirm against the mod
selveni_andavel_A06,Project AHO.esm,gameplugin commit c5822a2e 'Add character bios for Project AHO NPCs'; plugin filename UNVERIFIED - confirm against the mod
serer_orys_9E0,Project AHO.esm,gameplugin commit c5822a2e 'Add character bios for Project AHO NPCs'; plugin filename UNVERIFIED - confirm against the mod
shaglak_9FF,Project AHO.esm,gameplugin commit c5822a2e 'Add character bios for Project AHO NPCs'; plugin filename UNVERIFIED - confirm against the mod
shanath_selthri_A0A,Project AHO.esm,gameplugin commit c5822a2e 'Add character bios for Project AHO NPCs'; plugin filename UNVERIFIED - confirm against the mod
slyboots_586,Project AHO.esm,gameplugin commit c5822a2e 'Add character bios for Project AHO NPCs'; plugin filename UNVERIFIED - confirm against the mod
snippy_3FF,Project AHO.esm,gameplugin commit c5822a2e 'Add character bios for Project AHO NPCs'; plugin filename UNVERIFIED - confirm against the mod
suron_marys_6D1,Project AHO.esm,gameplugin commit c5822a2e 'Add character bios for Project AHO NPCs'; plugin filename UNVERIFIED - confirm against the mod
tadys_andavel_A05,Project AHO.esm,gameplugin commit c5822a2e 'Add character bios for Project AHO NPCs'; plugin filename UNVERIFIED - confirm against the mod
tamina_elenil_9EA,Project AHO.esm,gameplugin commit c5822a2e 'Add character bios for Project AHO NPCs'; plugin filename UNVERIFIED - confirm against the mod
valen_sarethi_6D6,Project AHO.esm,gameplugin commit c5822a2e 'Add character bios for Project AHO NPCs'; plugin filename UNVERIFIED - confirm against the mod
varen_rendo_9F0,Project AHO.esm,gameplugin commit c5822a2e 'Add character bios for Project AHO NPCs'; plugin filename UNVERIFIED - confirm against the mod
yen-ylu_7F5,Project AHO.esm,gameplugin commit c5822a2e 'Add character bios for Project AHO NPCs'; plugin filename UNVERIFIED - confirm against the mod
zarona_orys_9E1,Project AHO.esm,gameplugin commit c5822a2e 'Add character bios for Project AHO NPCs'; plugin filename UNVERIFIED - confirm against the mod
bandit_chief_lieutenant_generic,OBIS SE.esp,inferred from OBIS naming scheme (reaver/marauder/highwayman/plunderer/lieutenant tiers); CSV already carries 19 OBIS SE rows
bandit_exalted_lieutenant_generic,OBIS SE.esp,inferred from OBIS naming scheme (reaver/marauder/highwayman/plunderer/lieutenant tiers); CSV already carries 19 OBIS SE rows
bandit_highwayman_archer_generic,OBIS SE.esp,inferred from OBIS naming scheme (reaver/marauder/highwayman/plunderer/lieutenant tiers); CSV already carries 19 OBIS SE rows
bandit_highwayman_mage_generic,OBIS SE.esp,inferred from OBIS naming scheme (reaver/marauder/highwayman/plunderer/lieutenant tiers); CSV already carries 19 OBIS SE rows
bandit_highwayman_warrior_generic,OBIS SE.esp,inferred from OBIS naming scheme (reaver/marauder/highwayman/plunderer/lieutenant tiers); CSV already carries 19 OBIS SE rows
bandit_ice_mage_exalted_lieutenant_generic,OBIS SE.esp,inferred from OBIS naming scheme (reaver/marauder/highwayman/plunderer/lieutenant tiers); CSV already carries 19 OBIS SE rows
bandit_lieutenant_generic,OBIS SE.esp,inferred from OBIS naming scheme (reaver/marauder/highwayman/plunderer/lieutenant tiers); CSV already carries 19 OBIS SE rows
bandit_lieutenant_overseer_generic,OBIS SE.esp,inferred from OBIS naming scheme (reaver/marauder/highwayman/plunderer/lieutenant tiers); CSV already carries 19 OBIS SE rows
bandit_mage_generic,OBIS SE.esp,inferred from OBIS naming scheme (reaver/marauder/highwayman/plunderer/lieutenant tiers); CSV already carries 19 OBIS SE rows
bandit_marauder_archer_generic,OBIS SE.esp,inferred from OBIS naming scheme (reaver/marauder/highwayman/plunderer/lieutenant tiers); CSV already carries 19 OBIS SE rows
bandit_marauder_generic,OBIS SE.esp,inferred from OBIS naming scheme (reaver/marauder/highwayman/plunderer/lieutenant tiers); CSV already carries 19 OBIS SE rows
bandit_marauder_warrior_generic,OBIS SE.esp,inferred from OBIS naming scheme (reaver/marauder/highwayman/plunderer/lieutenant tiers); CSV already carries 19 OBIS SE rows
bandit_outlaw_archer_generic,OBIS SE.esp,inferred from OBIS naming scheme (reaver/marauder/highwayman/plunderer/lieutenant tiers); CSV already carries 19 OBIS SE rows
bandit_outlaw_mage_generic,OBIS SE.esp,inferred from OBIS naming scheme (reaver/marauder/highwayman/plunderer/lieutenant tiers); CSV already carries 19 OBIS SE rows
bandit_outlaw_warrior_generic,OBIS SE.esp,inferred from OBIS naming scheme (reaver/marauder/highwayman/plunderer/lieutenant tiers); CSV already carries 19 OBIS SE rows
bandit_plunderer_warrior_generic,OBIS SE.esp,inferred from OBIS naming scheme (reaver/marauder/highwayman/plunderer/lieutenant tiers); CSV already carries 19 OBIS SE rows
bandit_raid_lieutenant_generic,OBIS SE.esp,inferred from OBIS naming scheme (reaver/marauder/highwayman/plunderer/lieutenant tiers); CSV already carries 19 OBIS SE rows
bandit_reaver_archer_generic,OBIS SE.esp,inferred from OBIS naming scheme (reaver/marauder/highwayman/plunderer/lieutenant tiers); CSV already carries 19 OBIS SE rows
bandit_reaver_chief_lieutenant_generic,OBIS SE.esp,inferred from OBIS naming scheme (reaver/marauder/highwayman/plunderer/lieutenant tiers); CSV already carries 19 OBIS SE rows
bandit_reaver_exalted_lieutenant_generic,OBIS SE.esp,inferred from OBIS naming scheme (reaver/marauder/highwayman/plunderer/lieutenant tiers); CSV already carries 19 OBIS SE rows
bandit_reaver_generic,OBIS SE.esp,inferred from OBIS naming scheme (reaver/marauder/highwayman/plunderer/lieutenant tiers); CSV already carries 19 OBIS SE rows
bandit_reaver_highwayman_archer_generic,OBIS SE.esp,inferred from OBIS naming scheme (reaver/marauder/highwayman/plunderer/lieutenant tiers); CSV already carries 19 OBIS SE rows
bandit_reaver_highwayman_mage_generic,OBIS SE.esp,inferred from OBIS naming scheme (reaver/marauder/highwayman/plunderer/lieutenant tiers); CSV already carries 19 OBIS SE rows
bandit_reaver_highwayman_warrior_generic,OBIS SE.esp,inferred from OBIS naming scheme (reaver/marauder/highwayman/plunderer/lieutenant tiers); CSV already carries 19 OBIS SE rows
bandit_reaver_lieutenant_generic,OBIS SE.esp,inferred from OBIS naming scheme (reaver/marauder/highwayman/plunderer/lieutenant tiers); CSV already carries 19 OBIS SE rows
bandit_reaver_lieutenant_overseer_generic,OBIS SE.esp,inferred from OBIS naming scheme (reaver/marauder/highwayman/plunderer/lieutenant tiers); CSV already carries 19 OBIS SE rows
bandit_reaver_lord_generic,OBIS SE.esp,inferred from OBIS naming scheme (reaver/marauder/highwayman/plunderer/lieutenant tiers); CSV already carries 19 OBIS SE rows
bandit_reaver_mage_generic,OBIS SE.esp,inferred from OBIS naming scheme (reaver/marauder/highwayman/plunderer/lieutenant tiers); CSV already carries 19 OBIS SE rows
bandit_reaver_marauder_archer_generic,OBIS SE.esp,inferred from OBIS naming scheme (reaver/marauder/highwayman/plunderer/lieutenant tiers); CSV already carries 19 OBIS SE rows
bandit_reaver_marauder_mage_generic,OBIS SE.esp,inferred from OBIS naming scheme (reaver/marauder/highwayman/plunderer/lieutenant tiers); CSV already carries 19 OBIS SE rows
bandit_reaver_marauder_warrior_generic,OBIS SE.esp,inferred from OBIS naming scheme (reaver/marauder/highwayman/plunderer/lieutenant tiers); CSV already carries 19 OBIS SE rows
bandit_reaver_outlaw_archer_generic,OBIS SE.esp,inferred from OBIS naming scheme (reaver/marauder/highwayman/plunderer/lieutenant tiers); CSV already carries 19 OBIS SE rows
bandit_reaver_outlaw_mage_generic,OBIS SE.esp,inferred from OBIS naming scheme (reaver/marauder/highwayman/plunderer/lieutenant tiers); CSV already carries 19 OBIS SE rows
bandit_reaver_outlaw_warrior_generic,OBIS SE.esp,inferred from OBIS naming scheme (reaver/marauder/highwayman/plunderer/lieutenant tiers); CSV already carries 19 OBIS SE rows
bandit_reaver_plunderer_archer_generic,OBIS SE.esp,inferred from OBIS naming scheme (reaver/marauder/highwayman/plunderer/lieutenant tiers); CSV already carries 19 OBIS SE rows
bandit_reaver_plunderer_mage_generic,OBIS SE.esp,inferred from OBIS naming scheme (reaver/marauder/highwayman/plunderer/lieutenant tiers); CSV already carries 19 OBIS SE rows
bandit_reaver_plunderer_warrior_generic,OBIS SE.esp,inferred from OBIS naming scheme (reaver/marauder/highwayman/plunderer/lieutenant tiers); CSV already carries 19 OBIS SE rows
bandit_reaver_raid_lieutenant_generic,OBIS SE.esp,inferred from OBIS naming scheme (reaver/marauder/highwayman/plunderer/lieutenant tiers); CSV already carries 19 OBIS SE rows
bandit_reaver_thug_archer_generic,OBIS SE.esp,inferred from OBIS naming scheme (reaver/marauder/highwayman/plunderer/lieutenant tiers); CSV already carries 19 OBIS SE rows
bandit_reaver_thug_mage_generic,OBIS SE.esp,inferred from OBIS naming scheme (reaver/marauder/highwayman/plunderer/lieutenant tiers); CSV already carries 19 OBIS SE rows
bandit_reaver_thug_warrior_generic,OBIS SE.esp,inferred from OBIS naming scheme (reaver/marauder/highwayman/plunderer/lieutenant tiers); CSV already carries 19 OBIS SE rows
bandit_reaver_warrior_generic,OBIS SE.esp,inferred from OBIS naming scheme (reaver/marauder/highwayman/plunderer/lieutenant tiers); CSV already carries 19 OBIS SE rows
bandit_ringleader_generic,OBIS SE.esp,inferred from OBIS naming scheme (reaver/marauder/highwayman/plunderer/lieutenant tiers); CSV already carries 19 OBIS SE rows
bandit_sorcerer_generic,OBIS SE.esp,inferred from OBIS naming scheme (reaver/marauder/highwayman/plunderer/lieutenant tiers); CSV already carries 19 OBIS SE rows
bandit_spellslinger_generic,OBIS SE.esp,inferred from OBIS naming scheme (reaver/marauder/highwayman/plunderer/lieutenant tiers); CSV already carries 19 OBIS SE rows
bandit_thief_generic,OBIS SE.esp,inferred from OBIS naming scheme (reaver/marauder/highwayman/plunderer/lieutenant tiers); CSV already carries 19 OBIS SE rows
bandit_thug_archer_generic,OBIS SE.esp,inferred from OBIS naming scheme (reaver/marauder/highwayman/plunderer/lieutenant tiers); CSV already carries 19 OBIS SE rows
bandit_thug_mage_generic,OBIS SE.esp,inferred from OBIS naming scheme (reaver/marauder/highwayman/plunderer/lieutenant tiers); CSV already carries 19 OBIS SE rows
bandit_thug_warrior_generic,OBIS SE.esp,inferred from OBIS naming scheme (reaver/marauder/highwayman/plunderer/lieutenant tiers); CSV already carries 19 OBIS SE rows
bandit_warrior_generic,OBIS SE.esp,inferred from OBIS naming scheme (reaver/marauder/highwayman/plunderer/lieutenant tiers); CSV already carries 19 OBIS SE rows
default,base,"special template, not an NPC bio"
player_special,base,"special template, not an NPC bio"
