slug,bioCount,pluginFiles
monsteraider-beast-followers,4,MONSTERaider - Beast Followers.esp
mvc-jaylen-follower-pack,4,MVC Jaylen Follower Pack.esp
naz-dotd1,4,Naz_DOTD1.esp
acpanda-follower-pack,3,acpanda Follower Pack.esp
apachii-divineelegancestore,3,Apachii_DivineEleganceStore.esm
bosmer,3,Bosmer.esp
etac-kynesgrove,3,ETaC – Kynesgrove.esp
etac-rorikstead,3,ETaC – Rorikstead.esp
fepack2-followers,3,FEpack2_followers.esp
freyafollower,3,FreyaFollower.esp
mistyskye,3,MistySkye.esp
naz-guildvol2,3,Naz_GuildVol2.esp
shizuka,3,Shizuka.esp
tavern-girls,3,Tavern Girls.esp
azeneths-angels,2,Azeneths Angels.esp
dunmer,2,Dunmer.esp
snakbarr,2,SnakBarr.esp
solstheimmerchantsinwhiterun,2,SolstheimMerchantsInWhiterun.esp
018auri,1,018Auri.esp
0kaidan,1,0Kaidan.esp
abiona,1,Abiona.esp
akomi,1,Akomi.esp
aliciafollower,1,AliciaFollower.esp
alternate-start-live-another-life,1,alternate start - live another life.esp
amayahpsse,1,AmayaHPSSE.esp
amayalpsse,1,AmayaLPSSE.esp
anabellahpfollower,1,AnabellaHPfollower.esp
aniafollower,1,AniaFollower.esp
beyondskyrimmerchant,1,BeyondSkyrimMerchant.esp
braenn,1,Braenn.esp
bridgetfollower,1,Bridgetfollower.esp
buvarp-se-re,1,BUVARP SE RE.esp
candyjv,1,CandyJV.esp
carrot,1,Carrot.esp
cassie-follower,1,Cassie_follower.esp
cerri,1,Cerri.esp
chaconne,1,Chaconne.esp
chelsea-the-purifier,1,Chelsea - The Purifier.esp
clare-hphfollower,1,Clare_HPHFollower.esp
clove-follower,1,Clove Follower.esp
colanyr,1,ColaNyr.esp
college-of-winterhold-quest-expansion,1,College Of Winterhold - Quest Expansion.esp
collegeofwinterholdimmersive,1,CollegeOfWinterholdImmersive.esp
crethia,1,Crethia.esp
cs-coralyn,1,CS_Coralyn.esp
csv-vayne,1,CSV_Vayne.esp
daenafollower,1,DaenaFollower.esp
demon-cat-follower,1,Demon Cat Follower.esp
dharafollowerhp,1,DharaFollowerHP.esp
dionfollowerhp,1,DionFollowerHP.esp
dreadgirl,1,DreadGirl.esp
durz-follower,1,Durz_follower.esp
dz08-melana,1,DZ08_Melana.esp
edenfollowerhp,1,EdenFollowerHP.esp
eerika,1,Eerika.esp
eileen,1,Eileen.esp
elikke-follower,1,Elikke_follower.esp
elora,1,Elora.esp
elysefollowerhp,1,ElyseFollowerHP.esp
elysefollowerse,1,ElyseFollowerSE.esp
emcompviljaskyrim,1,EMCompViljaSkyrim.esp
ersiliafollower,1,ErsiliaFollower.esp
erynielelfsse,1,ErynielElfSSE.esp
fauna,1,Fauna.esp
figga-nyr-follower,1,Figga Nyr - Follower.esp
follower-neisa,1,Follower Neisa.esp
fredrika-follower,1,Fredrika Follower.esp
hali-nyr-follower,1,Hali Nyr - Follower.esp
hanafollower,1,HanaFollower.esp
hermit,1,hermit.esp
iasofollower,1,IasoFollower.esp
inigo,1,Inigo.esp
ivyfollowerhp,1,IvyFollowerHP.esp
jeeta,1,Jeeta.esp
jennifer-follower,1,Jennifer_follower.esp
jill-nyr-follower,1,Jill Nyr - Follower.esp
jorunn,1,Jorunn.esp
julie-follower,1,Julie_follower.esp
juliette-follower,1,Juliette_follower.esp
k101daegon,1,k101Daegon.esp
k404koemia,1,k404Koemia.esp
kak-thu-follower,1,Kak'Thu Follower.esp
kamille,1,Kamille.esp
karinfollowerhp,1,KarinFollowerHP.esp
karinfollowerse,1,KarinFollowerSE.esp
keepercarcettesurvives,1,KeeperCarcetteSurvives.esp
keirafollowerhp,1,KeiraFollowerHP.esp
khinara-jade,1,Khinara Jade.esp
ko2azzan,1,KO2Azzan.esp
ksws04-quest,1,ksws04_quest.esp
laceyfollowerse,1,LaceyFollowerSE.esp
lanafollowerhp,1,LanaFollowerHP.esp
lightningfollowerstandalone,1,LightningFollowerStandalone.esp
lilahfollowerhp,1,LilahFollowerHP.esp
lilahfollowerlp,1,LilahFollowerLP.esp
liviafollower,1,LiviaFollower.esp
lucien,1,Lucien.esp
lucyliu,1,LucyLiu.esp
lunafollowerhp,1,LunaFollowerHP.esp
lunafollowerse,1,LunaFollowerSE.esp
lwbwitch,1,lwbWitch.esp
milfactory-hasara,1,Milfactory Hasara.esp
miri-follower,1,Miri_Follower.esp
mithra-nyr-follower,1,Mithra Nyr - Follower.esp
mrissitailoftroubles,1,MrissiTailOfTroubles.esp
mvc-abigail-follower,1,MVC Abigail Follower.esp
mvc-yuki-seth-follower,1,MVC Yuki Seth Follower.esp
mxtdemi,1,MXTDemi.esp
mxtjen,1,MXTJen.esp
mxtmegumi,1,MXTMegumi.esp
mxtmion,1,MXTMion.esp
mxtsolivia,1,MXTSolivia.esp
naz-dahlia,1,Naz_Dahlia.esp
naz-erisara,1,Naz_Erisara.esp
nws-elana,1,NWS_Elana.esp
orbofdivines,1,OrbOfDivines.esp
ow-widowmaker,1,OW_Widowmaker.esp
pure-sylvia-follower,1,Pure Sylvia Follower.esp
raeza,1,raeza.esp
ravenfollower,1,RavenFollower.esp
recorder-follower-base,1,Recorder Follower Base.esp
renaefollower,1,RenaeFollower.esp
ryleighfollowerhp,1,RyleighFollowerHP.esp
ryleighfollowerse,1,RyleighFollowerSE.esp
sdz21-maria-follower,1,(SDZ21) Maria Follower.esp
sighne,1,Sighne.esp
silah-female-dragon,1,Silah Female Dragon.esp
skogul,1,Skogul.esp
skyfollowerhp,1,SkyFollowerHP.esp
skyrim-immersive-creatures-special-edition,1,Skyrim Immersive Creatures Special Edition.esp
smaffsciara,1,SmaffsCiara.esp
snow-elf-waifu,1,snow elf waifu.esp
sofiafollower,1,SofiaFollower.esp
solise,1,Solise.esp
thegiftofsaturalia,1,TheGiftofSaturalia.esp
toccata,1,Toccata.esp
ttr-fauvette,1,TTR Fauvette.esp
ttr-heidi,1,TTR Heidi.esp
ttr-lynette,1,TTR Lynette.esp
ttr-poppy,1,TTR Poppy.esp
unofollower2,1,UnoFollower2.esp
v-ashtoreth,1,V_Ashtoreth.esp
v-kayle,1,V_Kayle.esp
valmiliafollower,1,ValmiliaFollower.esp
vigilant,1,Vigilant.esm
vioricafollowerhp,1,VioricaFollowerHP.esp
vk-adira,1,_VK_Adira.esp
wampii,1,Wampii.esp
willowfollowerv1,1,WillowFollowerV1.esp
xiaolinghpfollower,1,xiaolingHPfollower.esp
xiaxiaowei,1,XiaXiaoWei.esp
xn-horora,1,xn_horora.esp
yvelle-follower,1,Yvelle follower.esp
yvet-follower,1,Yvet_Follower.esp
zhara,1,Zhara.esp
